player,fname,lname,pname,pos1,pos2,height,weight,dob,forty,bench,vertical,broad,shuttle,cone,arm,hand,dpos,col,dv,start,cteam,posd,jnum,dcp
AB-3450,Anthony,Brown,A.Brown,DB,,71,192,12/15/1993,4.32,19,35,115,4.19,7.03,31.75,8.25,189,Purdue,Big Ten,2016,DAL,LCB,30,1
AB-3500,Antonio,Brown,A.Brown,WR,,70,186,7/10/1988,4.56,13,33.5,105,4.18,6.98,31,9,195,Central Michigan,Mid-American (MAC),2010,NE,LWR,17,1
AB-3550,Antonio,Brown,A.Brown,WR,,70,175,3/3/1978,0,0,0,0,0,0,0,0,0,West Virginia,Big East,2003,INA,INA,0,0
AB-3570,Arthur,Brown,A.Brown,LB,,72,241,6/17/1990,4.67,21,32.5,116,4.31,7.07,32.5,10,56,Kansas State,Big 12,2013,INA,INA,0,0
AB-3577,Asantay,Brown,A.Brown,DB,,72,215,2/3/1995,4.63,16,38,126,4.15,6.86,0,0,0,Western Michigan,Mid-American (MAC),2018,INA,INA,0,0
AB-3585,Austin,Brown,A.Brown,DL,,74,280,9/14/1991,4.97,32,32,108,4.49,7.35,0,0,0,Miami (OH),Mid-American (MAC),2014,INA,INA,0,0
AB-3600,Arland,Bruce,A.Bruce,WR,,70,193,11/23/1977,0,0,0,0,0,0,0,0,0,Minnesota,Big Ten,2003,INA,INA,0,0
AB-3700,Anthony,Bryant,A.Bryant,DL,,75,336,11/6/1981,5.06,23,31.5,106,4.72,7.8,0,0,178,Alabama,Southeastern (SEC),2005,INA,INA,0,0
AB-3800,Antonio,Bryant,A.Bryant,WR,,73,192,3/9/1981,4.57,0,37,121,0,0,0,0,63,Pittsburgh,Big East,2002,INA,INA,0,0
AB-3850,Armonty,Bryant,A.Bryant,DL,LB,76,263,5/20/1990,4.69,15,34.5,121,4.43,7.14,35.75,9.75,217,East Central Oklahoma,,2013,INA,INA,0,0
AB-3856,Austin,Bryant,A.Bryant,DL,,76,271,11/12/1996,4.83,0,0,0,0,0,34.625,9.625,117,Clemson,Atlantic Coast (ACC),2019,DET,RES,94,3
AB-3862,Aaron,Burbridge,A.Burbridge,WR,,72,206,12/23/1993,4.46,20,30.5,115,4.31,7.22,31.625,8.25,213,Michigan State,Big Ten,2016,INA,INA,0,0
AB-3875,Artie,Burns,A.Burns,DB,,72,193,5/1/1995,4.42,7,33,124,4.33,6.96,33.25,9.5,25,Miami (FL),Atlantic Coast (ACC),2016,PIT,RCB,25,2
AB-3900,Antwon,Burton,A.Burton,DL,,75,315,7/11/1983,5.39,31,31.5,113,0,0,0,0,0,Temple,FBS Independents,2006,INA,INA,0,0
AB-4000,Adam,Butler,A.Butler,DL,,76,301,4/12/1994,5.23,23,28.5,101,4.9,7.51,0,0,0,Vanderbilt,Southeastern (SEC),2017,NE,DT,70,2
AC-0100,Andre,Caldwell,A.Caldwell,WR,RB,72,200,4/15/1985,4.35,18,36.5,124,4.11,6.75,32.25,9,97,Florida,Southeastern (SEC),2008,INA,INA,0,0
AC-0200,Antoine,Caldwell,A.Caldwell,OL,,75,305,4/19/1986,5.24,23,28,111,5.04,7.96,0,0,77,Alabama,Southeastern (SEC),2009,INA,INA,0,0
AC-0225,Austin,Calitro,A.Calitro,LB,,73,239,1/10/1994,4.67,24,34,111,4.31,6.96,0,0,0,Villanova,Colonial Athletic (CAA),2017,JAC,SLB,58,2
AC-0237,Antonio,Callaway,A.Callaway,WR,,71,200,1/9/1997,4.41,7,34,121,4.33,7,31.5,9.5,105,Florida,Southeastern (SEC),2018,CLE,SUS,11,1
AC-0250,A.J.,Cann,A.Cann,OL,,75,313,10/3/1991,5.47,30,32.5,109,0,0,32.625,10.25,67,South Carolina,Southeastern (SEC),2015,JAC,RG,60,1
AC-0300,Anthony,Cannon,A.Cannon,LB,,70,226,12/31/1984,4.75,0,0,0,0,0,0,0,247,Tulane,Conference USA (C-USA),2006,INA,INA,0,0
AC-0350,Avius,Capers,A.Capers,WR,,69,200,5/30/1992,0,0,0,0,0,0,0,0,0,Johnson C. Smith,,2015,INA,INA,0,0
AC-0362,Alex,Cappa,A.Cappa,OL,,78,305,1/27/1995,5.35,24,26.5,97,4.84,8.04,32.625,9.25,94,Humboldt State,,2018,TB,RG,65,1
AC-0375,Amir,Carlisle,A.Carlisle,WR,,70,191,9/24/1992,4.5,17,35,0,4.24,7.39,0,0,0,Notre Dame,FBS Independents,2016,INA,INA,0,0
AC-0387,Austin,Carr,A.Carr,WR,,72,201,12/25/1993,4.62,16,33.5,116,4.07,6.7,0,0,0,Northwestern,Big Ten,2017,NO,RWR,80,3
AC-0400,Adam,Carriker,A.Carriker,DL,,78,296,5/6/1984,4.9,33,33.5,110,4.18,7.06,0,0,13,Nebraska,Big 12,2007,INA,INA,0,0
AC-0500,Alex,Carrington,A.Carrington,DL,LB,77,285,6/19/1987,4.92,26,33,122,4.81,7.64,33.25,10.5,72,Arkansas State,Sun Belt,2010,INA,INA,0,0
AC-0600,Ahmad,Carroll,A.Carroll,DB,,71,190,8/4/1983,4.34,15,41,128,0,0,0,0,25,Arkansas,Southeastern (SEC),2004,INA,INA,0,0
AC-0650,Alex,Carter,A.Carter,DB,,72,196,10/19/1994,4.5,17,40,121,4.07,7.05,32.125,9.125,80,Stanford,Pacific 12,2015,INA,INA,0,0
AC-0700,Andre,Carter,A.Carter,DL,LB,76,265,5/12/1979,4.84,20,38.5,132,4.24,0,0,0,7,California,Pacific 10,2001,INA,INA,0,0
AC-0900,Antoine,Cash,A.Cash,LB,,73,223,3/5/1982,0,0,0,0,0,0,0,0,0,Southern Mississippi,Conference USA (C-USA),2005,INA,INA,0,0
AC-1000,Antoine,Cason,A.Cason,DB,,72,195,7/9/1986,4.45,20,35.5,128,4.08,7.07,0,0,27,Arizona,Pacific 10,2008,INA,INA,0,0
AC-1100,Aveion,Cason,A.Cason,RB,WR,70,204,7/12/1979,4.43,0,0,0,0,0,0,0,0,Illinois State,Missouri Valley,2001,INA,INA,0,0
AC-1200,Anthony,Castonzo,A.Castonzo,OL,,79,305,8/9/1988,5.21,28,29.5,105,4.4,7.25,34.5,10.625,22,Boston College,Atlantic Coast (ACC),2011,IND,LT,74,1
AC-1250,Andre,Chachere,A.Chachere,DB,,72,197,2/10/1996,4.49,13,38,123,4.07,6.78,0,0,0,San Jose State,Mountain West (MWC),2018,ARI,PS,0,4
AC-1300,Antonio,Chatman,A.Chatman,WR,,69,177,2/12/1979,0,0,0,0,0,0,0,0,0,Cincinnati,Conference USA (C-USA),2003,INA,INA,0,0
AC-1325,Anthony,Chesley,A.Chesley,DB,,72,187,5/31/1995,4.46,0,35.5,120,4.24,7,31.25,8,0,Coastal Carolina,Sun Belt,2019,CIN,PS,38,1
AC-1350,Anthony,Chickillo,A.Chickillo,DL,LB,75,267,12/10/1992,4.79,27,34.5,114,4.25,7.17,33.5,10.125,212,Miami (FL),Atlantic Coast (ACC),2015,PIT,LOLB,56,2
AC-1375,Alex,Chisum,A.Chisum,WR,,75,194,11/6/1992,4.61,19,34.5,122,4.26,7.09,0,0,0,Cincinnati,American Athletic,2016,INA,INA,0,0
AC-1381,Adam,Choice,A.Choice,RB,,69,220,11/30/1995,4.58,0,32,118,4.44,7.27,31.625,9.875,0,Clemson,Atlantic Coast (ACC),2019,SEA,RES,35,1
AC-1387,Anthony,Cioffi,A.Cioffi,DB,,72,200,8/26/1994,4.55,15,27.5,114,4.24,6.96,0,0,0,Rutgers,Big Ten,2017,INA,INA,0,0
